Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0483542580037175,0.0661359001033551,0.0903527256260012,0,0,0,0.529246249549054,0.000724923765639313,7.29097671419552E-21,7.58696184968933E-14,0.00249456704004492,6.25854544980424E-21,0.00187163343134957,0,0,0,0,0,0,package://new_assembly_URDF/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_assembly_URDF/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lb1_Link,-0.0289357589557737,0.0041063917124772,0.0170118647111218,0,0,0,0.0166482363793261,6.59772466963175E-06,3.67406043409153E-07,4.5249843260646E-07,1.02444260480427E-05,-8.55797737619874E-08,1.00501637690823E-05,0,0,0,0,0,0,package://new_assembly_URDF/meshes/lb1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_assembly_URDF/meshes/lb1_Link.STL,,lb1_link-1,Origin_lb1,Axis_lb1,lb1,revolute,-0.03718,-0.13435,0.056007,1.4752,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
lw1_Link,0.0294355071136512,-0.028108357458579,0.0143511492716037,0,0,0,0.0102661782426803,5.31122382265281E-06,5.32348621387336E-06,4.49856515066056E-09,5.98701012618591E-06,-1.19290209184533E-08,1.12133552338869E-05,0,0,0,0,0,0,package://new_assembly_URDF/meshes/lw1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_assembly_URDF/meshes/lw1_Link.STL,,lw1_link-1,Origin_lw1,Axis_lw1,lw1,revolute,-0.0205,0.016766,0.022215,-0.00879,0.02261,-0.74153,lb1_Link,0,0.033463,-0.99944,0,0,0,0,,,,,,,,
lf1_Link,-0.0347470712199884,-0.0348577590970193,0.0157290533145501,0,0,0,0.0138724243812203,7.87491119046239E-06,-7.64039904524986E-06,-4.67363714326213E-08,8.06199953182333E-06,-4.40213169501747E-08,1.55450824925121E-05,0,0,0,0,0,0,package://new_assembly_URDF/meshes/lf1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_assembly_URDF/meshes/lf1_Link.STL,,lf1_link-1,Origin_lf1,Axis_lf1,lf1,revolute,0.072933,-0.068308,-0.0043817,-0.0045348,-0.016825,0.52654,lw1_Link,0,0.033463,-0.99944,0,0,0,0,,,,,,,,
lb2_Link,0.0289369544558378,0.00404448170590122,0.0170385941036416,0,0,0,0.0166609698327643,6.60368902423532E-06,1.55396837606229E-07,-4.34797612284511E-07,1.02523917362092E-05,-8.49280678178362E-08,1.0056619431183E-05,0,0,0,0,0,0,package://new_assembly_URDF/meshes/lb2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_assembly_URDF/meshes/lb2_Link.STL,,lb2_link-1,Origin_lb2,Axis_lb2,lb2,revolute,0.13382,-0.13435,0.056007,1.5175,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
lw2_Link,0.0265881507440808,-0.0307019661951679,0.00854748302941041,0,0,0,0.0102661782311324,6.35547026536748E-06,5.28705474145751E-06,3.92611557192272E-08,4.94315211048549E-06,-5.33953867655459E-08,1.12129667851758E-05,0,0,0,0,0,0,package://new_assembly_URDF/meshes/lw2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_assembly_URDF/meshes/lw2_Link.STL,,lw2_link-1,Origin_lw2,Axis_lw2,lw2,revolute,0.0405,0.016478,0.027875,-0.011625,0.026972,-0.81385,lb2_Link,0,0.037087,-0.99931,0,0,0,0,,,,,,,,
lf2_Link,-0.0349975693805108,-0.0343737469383752,0.00792041429694301,0,0,0,0.0138724243812202,7.76298952907466E-06,-7.63800576274037E-06,-7.28539380170651E-08,8.1742988234938E-06,-6.85400781873018E-08,1.5544704862229E-05,0,0,0,0,0,0,package://new_assembly_URDF/meshes/lf2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_assembly_URDF/meshes/lf2_Link.STL,,lf2_link-1,Origin_lf2,Axis_lf2,lf2,revolute,0.065878,-0.075182,-0.0027902,-0.0075381,-0.022418,0.64872,lw2_Link,0,0.037087,-0.99931,0,0,0,0,,,,,,,,
rb1_Link,-0.0289357589557738,0.00538114975239883,-0.016652604036248,0,0,0,0.0166482363793261,6.59772466963175E-06,4.00573983515244E-07,-4.23417661388363E-07,1.02304082192695E-05,9.92498539907385E-08,1.00641815978556E-05,0,0,0,0,0,0,package://new_assembly_URDF/meshes/rb1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_assembly_URDF/meshes/rb1_Link.STL,,rb1_link-1,Origin_rb1,Axis_rb1,rb1,revolute,-0.03718,-0.046353,0.056007,1.5708,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
rw1_Link,0.0244856611540434,-0.0317231111919829,-0.00920470599317084,0,0,0,0.0102661782360146,7.05841606923407E-06,5.13190985346395E-06,3.6141069638657E-07,4.27324734219534E-06,-4.82289848949084E-07,1.11799257587626E-05,0,0,0,0,0,0,package://new_assembly_URDF/meshes/rw1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_assembly_URDF/meshes/rw1_Link.STL,,rw1_link-1,Origin_rw1,Axis_rw1,rw1,revolute,-0.0205,0.018712,-0.028303,-0.0098878,0.027158,-0.6983,rb1_Link,0,0.042215,-0.99911,0,0,0,0,,,,,,,,
rf1_Link,-0.0382049470391167,-0.0300764824910554,-0.00864423160858389,0,0,0,0.0138724243812205,6.25889588174792E-06,-7.42756117541382E-06,-5.43795913468127E-07,9.70931517647496E-06,-4.29254121842317E-07,1.55137821565757E-05,0,0,0,0,0,0,package://new_assembly_URDF/meshes/rf1_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://new_assembly_URDF/meshes/rf1_Link.STL,,rf1_link-1,Origin_rf1,Axis_rf1,rf1,revolute,0.060669,-0.079423,-0.0033559,-0.0066339,-0.022726,0.56801,rw1_Link,0,0.042215,-0.99911,0,0,0,0,,,,,,,,
